ATG5
ERCC5
PCBP1-AS1
MED13
CPVL
PRP4K
LRCH3
IPO11
CCNK
EIF2S3
ITM2B
GRIK5
VBP1
TGOLN2
TARS1
MTNAP1
BUD31
RYBP
AFG1L
GRSF1
BZW1
OSBPL3
ZNF121
IPO7
NCKIPSD
