MTOR
PIN4
INO80D
ZC4H2
ASXL2
TRIP4
USP10
PSMD2
AP3S2
TULP4
URB1
GALNT1
BIRC2
BTBD8
DBN1
RAB14
TSNAX
ITGA2
ZNF146
UBE2G2
EEA1
RALGAPB
SRP72
BAZ2A
SIRT5
