LINC02649
DIRC3
PGK1
LDHA
BNIP3
PDK1
HK2
ENO1
PPFIA4
LINC02656
RLF
DARS1
P4HA1
FAM162A
PFKFB3
TPI1
DDIT4
GPI
ZNF160
ALDOA
VEGFA
PFKFB4
CPSF6
ENSG00000258667
FER1L4
