UFL1-AS1
RGS12
MYH9
AHNAK
CSNK1D
B4GALT5
PPP2CA
NAA50
KLHL25
CYP2U1-AS1
GPR107
MRPL13
TOM1L1
ARB2A
MINDY1
MAX
CAAP1
CUL4A
SPTAN1
PHF2
DYNLL2
GOPC
EMSY
MAP2K7
SSU72
