CUL4B
QARS1
PRDM4
VPS45
PCYOX1
ENSG00000284461
ZNF226
PPP4R1
ODR4
CAPN7
POR
CTNNBIP1
TMF1
BCL2L1
PTCD3
MOSMO
NPHP4
PRKRIP1
SLC35B3
CYP2R1
MRPL42
MAD1L1
HDAC4
MYL6
ENSG00000288597
