RPS6
RPL7A
RPS8
RPS16
RPL35A
RPL13
RPL19
RPL23
RPL14
RPS12
RPL8
RPL3
RPL6
RPLP1
RPL13A
RPL34
RPL5
RPS5
RPS25
RPL38
RPS15A
MIF
MRPL51
RPS27A
FTL
