GBF1
CERK
MRTFA
SMAP1
DAD1
SACM1L
COMMD1
ANKLE2
ULK1
UBE2R2
TTC14
IMMP1L
MDM4
SEC11A
ZFP64
IL6ST
TCTN3
PLCG1
DIP2A
ABL2
TTLL4
RIN2
HIF1AN
ELP3
OPA1
