LINC00678
LNCPRESS2
ESRG
ESRP1
ENSG00000231698
ENSG00000260834
ENSG00000258649
ZFP42
L1TD1
ENSG00000288895
FLT1
HTR7
CYP2S1
POU5F1
GRHL2
CLDN6
CRIPTO
SLC7A5
ENSG00000289533
ENSG00000254339
KCTD5
ZNF597
MLST8
FADD
E4F1
