RHBDD1
BDP1
CDC14A
WDR6
SUGCT
UHRF2
FUBP3
CREBBP
VPS36
TMX3
TRIM8
CALCOCO1
PTPN4
ENSG00000196826
ZNF134
UNC13B
DDRGK1
ILKAP
IFT140
CCDC71
CTSB
FAAP20
FBXL18
STX16-NPEPL1
MYO1H
