HMGCS1
SCD
FADS1
FADS2
WRN
PURPL
FDFT1
ZNF385B
RPL37A
PDE3B
DGKH
SETD5
TMEM68
LRRC8C
HS6ST2
PPM1D
PFKFB3
ELOVL6
MVD
AXL
NFRKB
APLF
ROR2
STXBP6
LRATD2
