HADHA
TMSB10
ACTB
ARHGEF17
NT5C2
CABIN1
ACTG1
SMARCA1
FLNA
NCL
TMSB4X
APLF
PTMA
NUCB1
GKAP1
USP28
SNRPF
SOD1
ARPP19
CALM2
U2AF2
ENSG00000286415
HSP90AA1
CDV3
MAGED2
