NOS2
AGBL1
BARHL1
BCO1
HSD17B2
NRIP3-DT
ZNF385B
DOCK8
OLFM3
ENSG00000228835
ALDH1A1
ENSG00000286481
GCNT1
ENSG00000289002
ENSG00000235121
XACT
VTN
ANKRD34B
CDH13
RAB11FIP1
PKD1L2
SERINC5
ENSG00000230960
ENSG00000286371
LMOD1
