SLC17A6
STMN2
LHX9
PHACTR3
MYT1L
GRIA2
NSG2
LINC02223
SLC17A6-DT
ENSG00000255028
TMEM163
EBF1
GREM2
NDST3
PRPH
RUNX1T1
P2RX3
NRXN1
GPRIN3
KCNH7
CELF4
LINC02715
KCNA2
ENSG00000253503
ATOH1
