CFTR
SORCS3
PDGFD
PKIA
ALK
CHST11
KCND3
DSCAM
PRNP
TLN2
SHLD1
JMJD1C
NEGR1
CERS6
RCAN2
DAB1
FAM174A
LINGO2
LPL
RAB6A
MSRA
TMTC2
REDIC1
SSTR2
SLC9A9
