TMEM168
NUP50
CCDC93
KIAA0319L
VDAC1
PKD2
DLG4
LRCH1
TET1
DNAJC11
PLGRKT
FGD1
SLC9A6
STAG2
PLAA
MEX3C
LUZP1
VPS8
MRPS16
CCNYL1
STK35
MCTS1
ENSG00000233967
RAB40C
MEF2B
