SEC22A
TIAL1
SNHG29
MGMT
DHX15
SMAD1
FAM149B1
MED28
CMTR1
TAPT1
PUS10
EIF3H
KAT6A
RAP1GDS1
AATF
MBTPS2
CEP350
KCTD18
NDUFA12
RAB12
KLHL8
RAD52
TTC8
TIA1
TGFBR1
