CDC42SE2
RAB2A
FAM222B
ACAD11
PEX2
STAT1
SLC35F5
SSR3
HAUS6
XPOT
CTBP1
LRRFIP2
CEBPG
RCC2
PDS5B
STRN
MKRN1
ENSG00000285216
PCBP3
PAXBP1
RIC8A
LATS1
CWF19L2
CBX2
SLC66A2
