CROCC2
ADGB
LMNTD1
TEKT1
CFAP52
RSPH1
IL5RA
DNAH12
CFAP299
MAP3K19
MUSK
C7orf78
KIAA2012
CCDC170
CD36
LINC03003
ENSG00000248646
VWA3A
ENSG00000251185
FAM216B
CAPSL
CFAP61
DYNLT5
CFAP74
PTPRC
