CSNK2A1
DDR1
GDI1
BAZ1B
GTF3C1
LANCL1
PHKB
KPNA3
ZNF91
XPO6
SYNRG
KANSL3
ZC2HC1A
CTTN
CYP20A1
ECD
ANAPC5
C8orf76
CXXC5
RBM28
AP3D1
SUV39H2
COPB1
UQCRC2
RASA1
