source,native,name,p_value
GO:BP,GO:0008150,biological_process,1.441033332370462e-15
GO:BP,GO:0009987,cellular process,2.557509350182392e-15
GO:BP,GO:0008152,metabolic process,2.59084606358854e-10
GO:BP,GO:0044238,primary metabolic process,1.7743260159748623e-08
GO:BP,GO:0043170,macromolecule metabolic process,1.5556452391164199e-06
GO:BP,GO:0065007,biological regulation,3.780510582161811e-05
GO:BP,GO:0050789,regulation of biological process,0.0005139909924264728
GO:BP,GO:0050794,regulation of cellular process,0.0005671561882040533
GO:BP,GO:0019222,regulation of metabolic process,0.0017574780360404096
GO:BP,GO:0006139,nucleobase-containing compound metabolic process,0.002528997709881386
GO:BP,GO:0009058,biosynthetic process,0.002953536676084796
GO:BP,GO:0043412,macromolecule modification,0.0033613103701947734
GO:BP,GO:0045184,establishment of protein localization,0.005573005204531447
GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.007877482032315874
GO:BP,GO:0050896,response to stimulus,0.009150895928470388
GO:BP,GO:0019538,protein metabolic process,0.024494306737671997
GO:BP,GO:0015031,protein transport,0.025849172244863498
GO:BP,GO:0036211,protein modification process,0.04512783969820953
GO:CC,GO:0110165,cellular anatomical structure,5.752426775278093e-23
GO:CC,GO:0005575,cellular_component,1.5632106972178724e-22
GO:CC,GO:0005622,intracellular anatomical structure,2.187584603688655e-17
GO:CC,GO:0043226,organelle,3.1243060379526964e-16
GO:CC,GO:0043227,membrane-bounded organelle,4.910697861210113e-14
GO:CC,GO:0043229,intracellular organelle,8.02266916858617e-14
GO:CC,GO:0043231,intracellular membrane-bounded organelle,1.1534547899804035e-12
GO:CC,GO:0005737,cytoplasm,1.4158605950477478e-11
GO:CC,GO:0016020,membrane,1.1699627892271661e-07
GO:CC,GO:0005829,cytosol,3.0959068001360297e-06
GO:CC,GO:0032991,protein-containing complex,6.188577458008893e-05
GO:CC,GO:0005634,nucleus,0.00024909738036140913
GO:CC,GO:1902494,catalytic complex,0.0004060747015961971
GO:CC,GO:0005783,endoplasmic reticulum,0.0008828721434727719
GO:CC,GO:0012505,endomembrane system,0.0011119127309481465
GO:CC,GO:1990234,transferase complex,0.001360814696479049
GO:CC,GO:0030119,AP-type membrane coat adaptor complex,0.022374811901631278
GO:CC,GO:0031090,organelle membrane,0.03753953456772831
GO:CC,GO:0030659,cytoplasmic vesicle membrane,0.04626120012885377
GO:MF,GO:0003674,molecular_function,6.458557355784352e-25
GO:MF,GO:0005488,binding,2.0620100122055743e-21
GO:MF,GO:0005515,protein binding,8.63514214678194e-18
GO:MF,GO:0003824,catalytic activity,0.0005632750086711694
GO:MF,GO:0036094,small molecule binding,0.013266941838805427
GO:MF,GO:0043167,ion binding,0.026992609720579566
GO:MF,GO:0004828,serine-tRNA ligase activity,0.04985042555228423
KEGG,KEGG:00000,KEGG root term,2.5896251703577422e-05
KEGG,KEGG:04142,Lysosome,0.005555567115149153
KEGG,KEGG:00510,N-Glycan biosynthesis,0.015396051647438647
KEGG,KEGG:01100,Metabolic pathways,0.017909063016660526
