ZNF782
ENSG00000263551
SLCO6A1
FMR1
DENND6A
CCDC66
RNF145
MSANTD2
SPIDR
STIP1
MLLT10
RSRC2
RLIM
SLC12A2-DT
SUCLA2
ARL1
RUVBL1
LINC00491
ZNF117
CCDC148
PXYLP1
ZFR
WASF2
LINC01980
MKRN3
