NDFIP1
SMURF1
TMEM245
USP16
HELZ
PACSIN2
MSH3
SRRT
RANBP3
PTP4A2
ZNF236
ABHD12
CDR2
DENND4C
PLA2G6
MTDH
EXT2
EGR1
HDGFL3
OS9
GTF3C2
DROSHA
ATG4C
MRPL30
MCUB
