BMP2K
FARP2
TAF2
NPHP3
CREB1
PICALM
TRA2B
GABPA
CYRIB
YIPF4
SPAST
CNOT9
ACAP2
YAF2
CDC5L
BNIP3L
PRDM5
ZNF143
ANKRD27
XPNPEP3
NHLRC2
STON1
L2HGDH
EYA3
SPPL3
