ENSG00000288903
CARMN
CPED1
COL3A1
TWIST1
ITGA1
IGFBP7
ALPK2
FOXC1
BGN
CDKN2B
DDC
ADGRF5
CFH
ABI3BP
POSTN
COL6A3
ITGA8
SNAI2
DNM3OS
ENSG00000253821
LINC02516
ENSG00000287849
ENSG00000227240
PMP22
