SCP2
GSPT1
ZMAT1
STX2
SAE1
L3MBTL3
PRRT2
WTIP
MACROD1
TRIM33
ZNF793
TMEM167A
SF3B4
ZNF337-AS1
ENSG00000258526
THUMPD3-AS1
PARP11
ALKBH5
MAP3K9
ENSG00000279753
C15orf40
TIMP1
HSH2D
DUSP19
ZNF585B
