EBF2
NEUROD4
EBF3
SRRM4
EYA2
NHLH1
MFNG
CHRNA3
NEUROG1
ST18
MIR217HG
CHRNB4
KIAA1755
NEUROD1
DLL3
ELAVL3
ELAVL4
HES6
NEUROG2
BHLHE22
RGS16
EOMES
PPP1R14C
PRDM8
IGFBPL1
