AGO4
PLEKHA8
PHF6
USP15
GAB1
SNX24
MKLN1
SERGEF
KANK1
TBC1D22B
HERPUD2
POLD2
ANKS1A
ABCC5
SSBP1
CFL1
SUPT6H
PLEKHA7
YWHAG
MRPL16
NUP88
LYPLAL1
ARL8B
FTSJ3
DPM1
