DYNAP
DENRP3
ENSG00000250855
SPATA31B2P
ENSG00000278341
PLA2G4C-AS1
ENSG00000272079
GPR158-AS1
TBXA2R
ENSG00000289048
PTGDR
ENSG00000289700
FOXA2
ALPG
MEP1AP4
KCTD14-AS2
PSPC1P2
HCST
DDX18P5
ENSG00000290052
RPL21P77
IZUMO2
LNROP
RPS27AP11
ENSG00000287830
