CLEC2A
ENSG00000289578
NECTIN3-AS1
ENSG00000289426
ENSG00000289168
KLRF2
PKIB
GPR141
ENSG00000286339
NME8
LCN9
YPEL3-DT
ENSG00000289069
CCDC144NL-AS1
KLHL20
ENSG00000290149
ENSG00000286456
DTWD1
ELMO1
SBF2
FAM3C
ENSG00000234985
ENSG00000289456
ENSG00000287122
ACTR3B
