 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000227681,ENSG00000227681,10,0.49593253968253975,0.9999999999999999,190.8333333333333
ENSG00000203727,SAMD5,9,0.48204365079365086,0.9691628281911681,155.83333333333337
ENSG00000141447,OSBPL1A,5,0.3906856261022926,0.5103015260015734,101.0
ENSG00000287976,ENSG00000287976,5,0.41028439153439145,0.6862511408132151,45.33333333333334
ENSG00000144857,BOC,5,0.3930004409171075,0.5511563163058814,131.0
ENSG00000083067,TRPM3,4,0.37216710758377414,0.4934451183031032,35.0
ENSG00000224658,ENSG00000224658,4,0.36059303350970007,0.5284613420085587,35.0
ENSG00000111186,WNT5B,4,0.3828703703703703,0.1148093171709024,371.0
ENSG00000111961,SASH1,4,0.4072089947089947,0.5310499782495064,323.0
ENSG00000124496,TRERF1,4,0.3410714285714282,0.004973882075488079,277.0
ENSG00000143919,CAMKMT,4,0.3272817460317457,0.0010769257276338478,218.0
ENSG00000196505,GDAP2,3,0.2729497354497354,0.00022282282241752318,69.0
ENSG00000123104,ITPR2,3,0.3082341269841267,0.11403776773198462,69.0
ENSG00000140836,ZFHX3,2,0.32818562610229257,0.37748721639129557,0.0
ENSG00000144339,TMEFF2,2,0.32818562610229257,0.37748721639129557,0.0
ENSG00000259429,UBE2Q2P2,2,0.2883267195767193,0.1015565303216802,35.0
ENSG00000064692,SNCAIP,2,0.24950396825396826,0.004553776089762993,35.0
ENSG00000161956,SENP3,2,0.22189153439153436,4.2714988206504756e-05,35.0
ENSG00000244227,LRRC77P,2,0.299338624338624,0.022881826312053967,68.0
ENSG00000171163,ZNF692,2,0.2613756613756614,0.00021463438732957911,68.0
ENSG00000157570,TSPAN18,2,0.33287037037037015,0.022962360352647444,275.0
ENSG00000249526,ENSG00000249526,1,0.2698082010582009,0.09782446622126843,0.0
ENSG00000245149,RNF139-DT,1,0.20661375661375658,4.271498820650841e-05,0.0
ENSG00000258584,FAM181A-AS1,1,0.25684523809523807,0.1013056909816159,0.0
ENSG00000289145,ENSG00000289145,1,0.17889409972743292,8.188435087963935e-06,0.0
ENSG00000063438,AHRR,1,0.229443241943242,0.021860964917851323,0.0
ENSG00000198551,ZNF627,1,0.24718915343915351,0.0009534899158437227,0.0
ENSG00000181513,ACBD4,1,0.24718915343915351,0.0009534899158437227,0.0
ENSG00000169926,KLF13,1,0.2738756613756612,0.02200887043680369,0.0
ENSG00000166173,LARP6,1,0.23591269841269852,0.00020644595224159027,0.0
ENSG00000143776,CDC42BPA,1,0.229443241943242,0.021860964917851323,0.0
ENSG00000143194,MAEL,1,0.3142967372134037,0.19169934095193514,0.0
ENSG00000138641,HERC3,1,0.19991181657848336,0.0008729558752502486,0.0
ENSG00000129355,CDKN2D,1,0.2215728715728716,0.019468319932031304,0.0
ENSG00000119523,ALG2,1,0.20661375661375658,4.271498820650841e-05,0.0
ENSG00000110721,CHKA,1,0.2628637566137565,0.0945931039746545,0.0
ENSG00000290569,ENSG00000290569,1,0.2711970899470898,0.10565630259733365,0.0
