SEC24B
USP8
ZNF106
ATP13A3
VAPB
CNBP
ATP1A1
MAPRE2
IWS1
NDUFS4
CDC37
ACYP2
ODF2L
REV1
SEC62
CPXM1
ARCN1
TEX10
HPS5
PLRG1
ITFG1
ENY2
DECR1
UGGT1
BTRC
