ANKRD1
SERPINE1
COL8A1
ENSG00000237844
ENSG00000288781
ENSG00000259560
TAGLN
EDN1
CREB5
CAVIN1
CYTOR
TGFB2
ENDOD1
PLAU
TNFRSF12A
CALD1
IGFBP3
GLIPR1
PI15
PDLIM3
ENSG00000243089
CSRP1
ENSG00000285016
JUN
EMP1
