CDK12
IARS1
ATP6V1D
MFSD4B
PRMT3
TSPAN3
NSUN6
CDC73
RBM4
TRAPPC11
GTDC1
KDM2B
PREP
ARFIP1
GOLGA3
HNRNPUL1
RPRD2
ZNF589
TUBB
FIP1L1
FGF14
TMED10
DCAF12
METTL6
QRSL1
