XIST
LINC01515
HERC2P3
TMLHE
LINC02315
TSIX
MIR924HG
ZNF528-AS1
ZNF248
CTPS2
COL4A5
ENSG00000291089
DIAPH2
ZNF528
RBBP7
FRMPD3
FHIT
ENSG00000267383
TMEM164
AP1S2
PLS3
COL4A6
NLRP2
PCDHA6
PDK3
