TBC1D16
PRR14L
CMSS1
GNL2
ANKUB1
CPD
SUCLG2-DT
HDAC8
ZNF235
PCDHGA2
PKIA
IGBP1
DPH5
ERICH1
MTA1
MBD2
CYTH3
SLC35A3
MGAT5
SEPTIN7P2
LINC01456
UBTD2
FHIP2A
CLNS1A
CDC123
