GALNT13
TP53BP2
ANAPC10
UBXN2A
SHROOM2
COG6
APPBP2
RHOA
ATP9A
ABCB7
ENSG00000253553
DGCR2
ARNT2
RAB11FIP3
PUM1
ZNF148
PTPN2
NDUFB5
OXR1
CHLSN
CARNMT1
CRAMP1
PRKAR1A
SF3B3
TIMM23B
