 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000143869,GDF7,37,0.4755577601410934,1.0,3413.740626786281
ENSG00000135903,PAX3,30,0.4567350088183424,0.6848692292480991,5352.068980034169
ENSG00000122012,SV2C,26,0.4475330687830692,0.7621502510069877,2942.7956470062136
ENSG00000154342,WNT3A,25,0.4407429453262792,0.8002504281091279,1816.3924961789883
ENSG00000172159,FRMD3,22,0.40375881834215266,0.545367698153613,944.3228130109887
ENSG00000003436,TFPI,17,0.38166887125220544,0.40045082479906324,925.7078660791474
ENSG00000249425,LINC02477,14,0.3885868606701953,0.4335204757392072,699.1183230068297
ENSG00000075223,SEMA3C,13,0.3692217813051156,0.3085163937938969,1119.6275506711247
ENSG00000184985,SORCS2,10,0.3371825396825403,0.02664910429404738,5941.855668503037
ENSG00000233005,ENSG00000233005,10,0.38518738977072425,0.4528351962818496,237.0308641803652
ENSG00000196498,NCOR2,9,0.28260582010582047,0.003403526497441287,1438.4693659167347
ENSG00000134245,WNT2B,9,0.35121913580247005,0.24643919757185512,565.1351694450823
ENSG00000174473,GALNTL6,8,0.344724426807761,0.30229485838591164,249.41752469752478
ENSG00000176040,TMPRSS7,8,0.34935405643739065,0.30903854522098695,380.4304971172618
ENSG00000163132,MSX1,7,0.3318143738977079,0.27578220844831935,40.8561177384707
ENSG00000184349,EFNA5,7,0.36565476190476276,0.1393226811247418,3005.7014893571613
ENSG00000153993,SEMA3D,7,0.33172178130511526,0.21124739088078648,167.28769216679427
ENSG00000152402,GUCY1A2,7,0.34130511463844887,0.19014896561817096,570.1467943606103
ENSG00000231204,ENSG00000231204,7,0.36783289241622663,0.37669392626879106,64.6652097041225
ENSG00000135905,DOCK10,7,0.3611133156966498,0.27773149284616233,195.17575039339724
ENSG00000033122,LRRC7,7,0.3293672839506179,0.13702142946522114,431.298848012639
ENSG00000066468,FGFR2,7,0.3651609347442694,0.21178821592867714,1378.0825743912662
ENSG00000061918,GUCY1B1,7,0.3394069664903006,0.22989697100684905,274.0650559966349
ENSG00000169218,RSPO1,6,0.3156238977072314,0.11965822127943265,306.3561028239048
ENSG00000125084,WNT1,6,0.34972442680776095,0.30816657977294726,58.70887021475259
ENSG00000197993,KEL,6,0.34718474426807844,0.27512830151327183,85.31269786976313
ENSG00000256463,SALL3,6,0.34051807760141156,0.26009555045351906,25.63308913308915
ENSG00000099282,TSPAN15,6,0.3462588183421525,0.2927186872821913,49.698609428515844
ENSG00000174482,LINGO2,6,0.3511662257495599,0.16185204733056616,568.9676778543071
ENSG00000205221,VIT,6,0.34287257495590917,0.25971530791055625,94.21552364302366
ENSG00000165409,TSHR,6,0.37083553791887225,0.3231141635499262,225.50724349678327
ENSG00000133216,EPHB2,5,0.26483465608465645,0.0027385831417751057,1368.909090909091
ENSG00000005102,MEOX1,5,0.3377402998236338,0.2312860905932539,10.585714285714284
ENSG00000134215,VAV3,5,0.35877204585538025,0.19632622136287847,679.1093947824905
ENSG00000047457,CP,5,0.3255180776014113,0.11748800233468716,751.9975147401623
ENSG00000168140,VASN,5,0.3262588183421523,0.20906164912702724,57.12629400011744
ENSG00000143772,ITPKB,5,0.26876783710117086,0.014904808316029876,725.0267857142856
ENSG00000145244,CORIN,5,0.31371913580246946,0.1591133440570916,15.753246753246753
ENSG00000184156,KCNQ3,5,0.2684457671957676,0.003091794720942097,1559.0
ENSG00000287306,ENSG00000287306,5,0.3345392416225757,0.25693344701816845,15.64029198770579
ENSG00000169884,WNT10B,5,0.3351477072310413,0.2678882755261719,11.75261111437582
ENSG00000182871,COL18A1,5,0.22498677248677285,0.00030801482506696625,702.7404761904759
ENSG00000171488,LRRC8C,5,0.3326741622574962,0.11959534335478332,814.1219235929757
ENSG00000146373,RNF217,5,0.27200857784191157,0.034352672149291705,534.0
ENSG00000173157,ADAMTS20,5,0.30821649029982384,0.1331842277559425,225.04410028377418
ENSG00000164116,GUCY1A1,5,0.3368540564373905,0.2680805933332097,13.23333333333333
ENSG00000154678,PDE1C,4,0.3321847442680781,0.19779746297707315,9.720670995670993
ENSG00000081803,CADPS2,4,0.3540806878306885,0.10925826304262654,2482.509749744866
ENSG00000196776,CD47,4,0.28801386884720226,0.03087281373392115,385.48541458541445
ENSG00000139329,LUM,4,0.2911155202821871,0.06308218647571279,88.77144383394383
ENSG00000158458,NRG2,4,0.3629651675485016,0.2829794672752772,31.097127786040577
ENSG00000146151,HMGCLL1,4,0.33370590828924235,0.2115331455863849,24.525289568134596
ENSG00000218819,TDRD15,4,0.3344995590828931,0.22083746986465042,3.76991341991342
ENSG00000131149,GSE1,4,0.26293650793650825,0.0029898731291873024,533.0
ENSG00000253880,ENSG00000253880,4,0.2772927689594359,0.11173467405016793,0.8333333333333333
ENSG00000132821,VSTM2L,4,0.28205467372134063,0.04908902048694508,58.341219891219936
ENSG00000106714,CNTNAP3,4,0.3188514109347448,0.16720956659304997,160.2188923395445
ENSG00000109472,CPE,4,0.3320921516754858,0.20325188876663103,59.27394568347255
ENSG00000259753,ENSG00000259753,4,0.3388514109347451,0.25580677412346864,6.139981595483623
ENSG00000114686,MRPL3,4,0.2161662257495597,0.00027512693625784593,709.0
ENSG00000116191,RALGPS2,4,0.32246252204585574,0.10830515570515664,211.6186327561328
ENSG00000150687,PRSS23,4,0.2770568783068788,0.004120334531223192,825.2705527416051
ENSG00000125378,BMP4,4,0.3393143738977079,0.17832082860582163,164.3417871407225
ENSG00000095739,BAMBI,4,0.3388514109347451,0.25580677412346864,6.139981595483623
ENSG00000241219,LOLI1,4,0.3388910934744275,0.16808914396483243,29.843722943722934
ENSG00000287999,ENSG00000287999,4,0.3398170194003534,0.18471094165460009,0.5833333333333333
ENSG00000151376,ME3,3,0.22016093474426776,0.00040988517196749187,356.99999999999994
ENSG00000289911,ENSG00000289911,3,0.3170921516754855,0.16935868715600788,0.0
ENSG00000157216,SSBP3,3,0.2255423280423284,0.0006051342051847315,226.66666666666666
ENSG00000152822,GRM1,3,0.279087502004169,0.10068166428623772,0.0
ENSG00000185811,IKZF1,3,0.3513514109347452,0.19448843973479807,43.39312900704182
ENSG00000182768,NGRN,3,0.2216865079365076,0.0007427206802241946,725.6062007193591
ENSG00000279675,ENSG00000279675,3,0.32875881834215215,0.15638889267805697,19.255040136288656
ENSG00000250064,ENSG00000250064,3,0.3081106701940037,0.14296614625878434,0.0
ENSG00000253661,ZFHX4-AS1,3,0.3128328924162262,0.15225303823453773,179.0
ENSG00000119522,DENND1A,3,0.30551807760141103,0.0681362014441689,533.0
ENSG00000236859,NIFK-AS1,3,0.1823412698412698,3.060500908464904e-05,357.0
ENSG00000134030,CTIF,3,0.2648809523809527,0.002962713749837455,817.5257320652054
ENSG00000087303,NID2,3,0.3312588183421522,0.17503021042648162,0.0
ENSG00000116731,PRDM2,3,0.2047376543209884,0.00010352078230484053,240.18855364907998
ENSG00000136235,GPNMB,3,0.2717372134038804,0.08482273840658514,0.25
ENSG00000112280,COL9A1,3,0.32524029982363356,0.17030511003978124,0.0
ENSG00000138814,PPP3CA,3,0.21754188712522096,0.0003076541538562317,881.0
ENSG00000085117,CD82,3,0.26450176366843076,0.03606872615269982,184.85833333333335
ENSG00000286122,LINC02964,3,0.319221781305115,0.12563010887387316,57.54096499905328
ENSG00000229600,ENSG00000229600,3,0.3045524691358027,0.10136555326085561,44.347845427782104
ENSG00000111907,TPD52L1,3,0.31829585537918903,0.1103096607257292,107.19362990810359
ENSG00000226320,LINC01811,3,0.3146847442680781,0.18096040988121853,0.0
ENSG00000214960,CRPPA,3,0.30551807760141103,0.06813620144416892,533.0
ENSG00000150551,LYPD1,3,0.3172773368606707,0.16247991718101198,36.44203296703296
ENSG00000123908,AGO2,3,0.20695987654321069,0.00010693471367967272,754.4176470702786
ENSG00000258560,ENSG00000258560,2,0.20996933621933653,0.0014684546293612189,179.0
ENSG00000289226,ENSG00000289226,2,0.23284191117524458,0.006712929030437153,179.0
ENSG00000182771,GRID1,2,0.2595085778419116,0.01777414993878065,38.03571428571428
ENSG00000266202,ENSG00000266202,2,0.29510802469135816,0.09077649668360853,0.0
ENSG00000213965,NUDT19,2,0.15128106461439786,1.0381680652996285e-06,356.0
ENSG00000243749,TMEM35B,2,0.3024338624338626,0.07509586643407518,921.0958111089694
ENSG00000237813,CAV2-DT,2,0.24331569664903047,0.00740063395388592,788.9919150050733
ENSG00000205707,ETFRF1,2,0.13331088664422006,1.0228261036671677e-07,179.0
ENSG00000182118,FAM89A,2,0.26112874779541484,0.03631303570817998,4.125
ENSG00000287451,ENSG00000287451,2,0.31570326278659655,0.11825116153871085,0.0
ENSG00000233635,ENSG00000233635,2,0.20697751322751393,0.00029456890317978497,179.0
ENSG00000198948,MFAP3L,2,0.2960339506172841,0.10147583749136971,0.0
ENSG00000276386,CNTNAP3P2,2,0.23785734327401026,0.02032386719238942,0.75
ENSG00000287176,ENSG00000287176,2,0.23284191117524458,0.006712929030437147,179.0
ENSG00000279277,ENSG00000279277,2,0.2547224226390897,0.020289972787459663,18.33888888888889
ENSG00000165633,VSTM4,2,0.2096715167548507,0.0003046104434713987,179.0
ENSG00000101096,NFATC2,2,0.2560361552028224,0.01952691460609505,9.396266233766234
ENSG00000075651,PLD1,2,0.26886684303351005,0.06857674650619752,2.4857142857142858
ENSG00000129595,EPB41L4A,2,0.30912918871252243,0.15080318731356965,0.0
ENSG00000121058,COIL,2,0.17694444444444427,2.7106113318838008e-05,179.0
ENSG00000115306,SPTBN1,2,0.17863756613756598,3.0310766625997807e-05,179.0
ENSG00000148842,CNNM2,2,0.3004254850088184,0.06747482885202916,179.0
ENSG00000151687,ANKAR,2,0.2212301587301591,0.00034256490556274746,419.15562770562764
ENSG00000154310,TNIK,2,0.28321228154561495,0.05072063786033326,15.91470841959972
ENSG00000154529,CNTNAP3B,2,0.26470017636684345,0.04106088458365666,19.992218771566595
ENSG00000079482,OPHN1,2,0.17398148148148115,1.0536427498797852e-05,531.0
ENSG00000126259,KIRREL2,2,0.24149490941157664,0.016467033663993245,0.0
ENSG00000171103,TRMT61B,2,0.27304453262786627,0.012072672780827185,475.06326558431823
ENSG00000047634,SCML1,2,0.2888646384479719,0.06617975463237473,4.175793650793651
ENSG00000163909,HEYL,2,0.27432980599647294,0.05969196891377972,6.2938375350140054
ENSG00000166923,GREM1,2,0.2636752445085783,0.033458540667853184,0.0
ENSG00000169247,SH3TC2,2,0.28951278659612023,0.04370193578006188,90.87142857142855
ENSG00000029153,BMAL2,2,0.2733884479717816,0.03215495318014898,24.30952380952381
ENSG00000055118,KCNH2,1,0.20366622574955978,0.00026724194312869904,0.0
ENSG00000255857,PXN-AS1,1,0.17950837742504402,5.905142640379687e-05,0.0
ENSG00000257585,LINC00609,1,0.2112830687830694,0.000332129786673803,0.0
ENSG00000257433,RPAP3-DT,1,0.20431898348565042,0.003519731176383607,0.0
ENSG00000120162,MOB3B,1,0.2521011704345043,0.01579417289479926,0.0
ENSG00000117305,HMGCL,1,0.20327380952381016,0.0002917638294648913,0.0
ENSG00000258932,MIR3171HG,1,0.17324074074074053,2.684799155118956e-05,0.0
ENSG00000253210,DENND3-AS1,1,0.24877425044091755,0.030157222567648766,0.0
