source,native,name,p_value
GO:BP,GO:0009987,cellular process,1.2777017675324015e-17
GO:BP,GO:0008150,biological_process,2.079425687845227e-16
GO:BP,GO:0065007,biological regulation,7.715373256214926e-11
GO:BP,GO:0050789,regulation of biological process,1.0509313846619298e-10
GO:BP,GO:0050794,regulation of cellular process,1.6647191616672517e-10
GO:BP,GO:0007165,signal transduction,7.147546576566713e-10
GO:BP,GO:0023052,signaling,8.026516526095728e-10
GO:BP,GO:0007154,cell communication,9.851464185440912e-10
GO:BP,GO:0051716,cellular response to stimulus,2.8352839115330895e-08
GO:BP,GO:0032501,multicellular organismal process,5.067660591335269e-08
GO:BP,GO:0007166,cell surface receptor signaling pathway,6.719215104092257e-08
GO:BP,GO:0009653,anatomical structure morphogenesis,8.747380947378607e-08
GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,5.828713563007379e-07
GO:BP,GO:0007267,cell-cell signaling,6.466649364081646e-07
GO:BP,GO:0023051,regulation of signaling,9.655141524662194e-07
GO:BP,GO:0010646,regulation of cell communication,1.013095356314872e-06
GO:BP,GO:0050896,response to stimulus,5.898111090129542e-06
GO:BP,GO:0051094,positive regulation of developmental process,8.29995884090726e-06
GO:BP,GO:0051239,regulation of multicellular organismal process,2.2112726793417297e-05
GO:BP,GO:0008152,metabolic process,2.714040715145285e-05
GO:CC,GO:0110165,cellular anatomical structure,2.9854370383665365e-23
GO:CC,GO:0005575,cellular_component,7.574986391200592e-23
GO:CC,GO:0071944,cell periphery,1.547912347751868e-11
GO:CC,GO:0005622,intracellular anatomical structure,7.616298980351992e-09
GO:CC,GO:0016020,membrane,8.891221824955028e-09
GO:CC,GO:0005886,plasma membrane,1.4517763562046436e-08
GO:CC,GO:0005576,extracellular region,4.071694001385536e-08
GO:CC,GO:0005737,cytoplasm,1.0938726339008281e-07
GO:CC,GO:0098978,glutamatergic synapse,1.1648868098092758e-06
GO:CC,GO:0008074,"guanylate cyclase complex, soluble",3.460162661926324e-05
GO:CC,GO:0043226,organelle,3.533603902708321e-05
GO:CC,GO:0045202,synapse,4.6846113260262305e-05
GO:CC,GO:0043227,membrane-bounded organelle,6.058173040548141e-05
GO:CC,GO:0005615,extracellular space,8.006039793955971e-05
GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.0002703947723740836
GO:CC,GO:0043229,intracellular organelle,0.00047290800054044157
GO:CC,GO:0031012,extracellular matrix,0.000880600308141028
GO:CC,GO:0030312,external encapsulating structure,0.000900004327485708
GO:CC,GO:0030054,cell junction,0.001000853622148475
GO:CC,GO:0009986,cell surface,0.003227674458830257
GO:MF,GO:0005488,binding,6.941914769207079e-19
GO:MF,GO:0003674,molecular_function,1.1331072373250127e-17
GO:MF,GO:0005515,protein binding,5.512307412794967e-12
GO:MF,GO:0005102,signaling receptor binding,3.399849452030061e-06
GO:MF,GO:0060089,molecular transducer activity,7.91755606714744e-06
GO:MF,GO:0038023,signaling receptor activity,7.91755606714744e-06
GO:MF,GO:0030545,signaling receptor regulator activity,5.549368290505922e-05
GO:MF,GO:0048018,receptor ligand activity,0.0001615169638384948
GO:MF,GO:0030546,signaling receptor activator activity,0.00019707476858679907
GO:MF,GO:0005109,frizzled binding,0.00033553340831541154
GO:MF,GO:0140677,molecular function activator activity,0.002700608107310601
GO:MF,GO:0005125,cytokine activity,0.004178426701277207
GO:MF,GO:0098772,molecular function regulator activity,0.005912242164298668
GO:MF,GO:0004419,hydroxymethylglutaryl-CoA lyase activity,0.01573933944241338
GO:MF,GO:0004383,guanylate cyclase activity,0.020326042692494013
KEGG,KEGG:00000,KEGG root term,8.660473779417008e-06
KEGG,KEGG:04310,Wnt signaling pathway,8.779687765915954e-05
KEGG,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,0.00022631115965840822
KEGG,KEGG:04924,Renin secretion,0.0006279401099736693
KEGG,KEGG:05217,Basal cell carcinoma,0.0007427872942163744
KEGG,KEGG:04360,Axon guidance,0.0019003023947957974
KEGG,KEGG:05205,Proteoglycans in cancer,0.002869666976998561
KEGG,KEGG:04390,Hippo signaling pathway,0.006990931240946199
KEGG,KEGG:04020,Calcium signaling pathway,0.010184357752091451
KEGG,KEGG:04660,T cell receptor signaling pathway,0.011576609886843761
KEGG,KEGG:04730,Long-term depression,0.012663371647804378
KEGG,KEGG:05226,Gastric cancer,0.03923542855749884
KEGG,KEGG:05224,Breast cancer,0.04188955299845719
KEGG,KEGG:04921,Oxytocin signaling pathway,0.049114380795256096
