RAD50
SFSWAP
TBCA
WDFY1
ZNF346
RCOR1
WDR7
CEP95
ZNF721
TCEA1
FAM107B
R3HDM2
ASH2L
MICU2
HDX
POLR2B
JADE3
HDDC2
BCCIP
DSTYK
UQCC2
ATAD1
AFF2
RIOK3
PACRGL
