LMX1B
C8orf34
FZD10
ABCA8
SLC24A3
ADCY8
C8orf34-AS1
LMX1B-DT
RAB3C
COL23A1
SLCO3A1
CA10
ST8SIA1
CPNE4
BNC2
NXPH1
RNF150
RIPPLY3
PGCKA1
GNAO1-DT
IQCJ
DPF3
ABTB3
GNAO1
PAX2
