LDAH
FUBP1
KLHDC10
TRAPPC12
CDC42BPB
KCTD1
RBM23
FNIP1
PROSER1
JAM3
DMTF1
ATP11B
MFSD14A
TCP1
BROX
LARP7
CREB3L2
EIF4H
ENSA
LCOR
MOGS
DSG2
ENSG00000285679
DNAJB11
DNAJC25
