TXNL1
TMEM178A
FXYD6
LAPTM4B
GOLM1
SERBP1
PAK4
HNRNPA0
PI4KA
CAMSAP2
SDCCAG8
ERLIN1
STK24
WWP2
IPO8
ELF1
RAC1
HSPA4
NARS2
CPSF2
SRSF11
NPM1
DCUN1D1
RSBN1
TCF3
