SLC25A46
LUC7L2
COX16
BMPR1A
UBE2G1
CEP63
AGL
NUB1
SEL1L
TUG1
MYLK-AS1
USP25
NFRKB
TCF25
WDFY2
ZNF621
H6PD
CCNI
SUZ12
TTC21B
ACO2
INTS2
HPS4
BTAF1
CTSL
