ABL1
RAPH1
PIGU
WDR37
RUFY1
ATR
RAB7A
UBE4B
ANO10
EP300
PAIP2
GARNL3
ZCRB1
SLAIN1
HS3ST1
RAB28
SLC25A36
DNAAF2
SLC39A9
HCFC1
PLEKHB2
NUDT5
NCKAP1
CBLL1
STRADB
