NUMB
DLG3
UBE2B
ELF2
EIF2AK4
NCSTN
TRIM44
FOXK2
NMT2
TAF1D
RPS6KA6
MAP3K7
DYNC1I2
LMBRD1
MEGF8
TRIM37
LSM3
ADHFE1
HNRNPLL
SLC30A6
ITPR1
ARL5A
BRI3
UVRAG
SFMBT2
