CDKN1A
INPP5D
ENSG00000251095
LINC01707
ZMAT3
PTCHD4
ENSG00000267509
TNFRSF10C
ASCC3
DRAM1
EDA2R
MIR34AHG
EPS8L2
GDF15
MIR3659HG
MDM2
MUC19
CDH8
DDB2
ITIH5
PRDM1
LINC01376
FDXR
TNFRSF10D
PHLDA3
