DNAJB14
HFM1
INTU
CNOT3
ITGB1BP1
NSL1
APOO
VOPP1
AVL9
RAD9A
KIF16B
CFL2
POU2F1
ABCD4
RCN1
RPA2
NVL
TMEM14C
ABI2
CAPRIN2
MARK2
LSM14A
PSMC2
CSNK2B
TOMM70
