CDH18
NAV3
SIPA1L3
ENSG00000239922
MINDY2
KDM4B
POLK
KDM3A
SMS
AUH
PNPLA8
DCTN4
LINC02609
BACH2
MYOF
ENSG00000286980
ITCH
NEDD9
PKM
ATP2B1
CDKAL1
SEMA6A
ZNF529-AS1
VCL
STK33
