CPSF7
FGGY
SLC20A2
ELP2
SKIC3
KCTD3
ADNP
WTAP
SMURF2
REEP5
CYFIP1
CCNL2
TMEM263
NADK2
TCP10L
INPP5F
MAP4K3
EHMT2
ENSG00000257545
ARHGAP17
ZNF75A
SKIC8
HMG20A
PCNX4
COX7A2L
