GARRE1
HSPA8
AKAP8L
ENTPD3-AS1
CCDC91
LINC01013
ARRDC3
RNF180
HNRNPL
PCNX2
BTF3L4
STARD9
GTF3C3
DDX6
CADM4
HEG1
MTX3
PARG
SMARCD1
FRG1HP
FKBP3
ENSG00000215067
ZNF260
CCT5
AZIN1
