CAPN2
EXOC6
BDNF-AS
DENR
DDX50
ZNF334
UPF3B
PAK2
ATXN3
UBAC2
PRPF3
CDC16
PRKD3
RPL28
RBM12B
ZFAND5
FGD5-AS1
ZNF605
SLC16A7
NPEPPS
CCDC126
MTMR9
XRCC1
SEC13
KPNA6
