MED27
MBTD1
MGA
FAM13B
ACVR1
IKBKB
POLG2
KMT2D
FNTB
R3HCC1L
PCYT1A
VPS53
ZFC3H1
NCOA3
ABHD17B
FKBP10
PPP1R12B
ALG6
CTTNBP2
ARHGEF10L
ENSG00000274322
DAP3
UBR4
KAT7
MAP2K5
