NUP107
DNAJB6
NBR1
MED12L
RABGGTB
PRORP
PUDP
SEC31B
YTHDC1
LTO1
POM121
ZNF814
STS
RBM39
ADAM9
ENSG00000250917
COPG1
TMEM178B
CALCOCO2
ZMYM6
TAF3
VPS50
MAGI2-AS3
APTR
BTBD1
