CALM3
PRKRA
ENSG00000285920
MORF4L2
SAMD13
RNF13
LAS1L
C9orf72
BACH1
PTMS
TMEM30A
TMEM248
PARL
STAU1
ATP6V1G1
CEP57
TUBB6
ARIH2
POMK
MORC3
ALG8
FAM228A
RPL41
TMEM181
BRPF3-AS1
