SUPT20H
ATP6V1C1
ENSG00000289349
NUP153
MAP4K5
SMARCC2
IFT80
PANK2
TJP2
ACOT9
MIR4713HG
DNAAF9
PHTF1
KC6
POGK
TMEM218
LINC01967
FAM169A
HCCS
ENSG00000257489
CCDC90B-AS1
DYNC2LI1
PPP2R5C
ENSG00000285155
ZSCAN2
