RICTOR
ZCCHC7
IGSF1
NAA25
CASC9
FAM151B-DT
ENSG00000236212
SCAF8
TBC1D9B
ENSG00000291175
PUM3
CCAR2
MRPS21
DHDDS
EOLA2-DT
TMEM41B
MTHFD1L
UBN2
ZC3H14
CDC40
DTNB
LRPPRC
ILF2
NUDCD1
TCEAL9
