ATG2B
ALG11
MICU3
DTNBP1
MTHFD2L
LYPLA1
ZNF302
SNX5
ANKRD10
HSDL2
TLK2
SEC23IP
UQCC1
CFLAR
PAWR
SPATS2
ZBTB8A
ENSG00000267787
FBXO30
RIOK1
CNOT1
UBR1
SAMTOR
RAB1A
ADAM17
