MAPK8IP3
MED1
ANAPC1
PTPN9
SBF1
ZNF654
MESD
ABCD3
SLTM
EFS
PDS5A
ERI1
SFXN1
WAPL
MTMR12
RNASEH1
ZFX
RAD23B
MTA3
HDLBP
CLINT1
SCARB2
ZNF892
GLCCI1
CFAP97
