ENSG00000197585
ENSG00000237461
KYAT3
SMARCAL1
CTNNA3
FSIP2
INPP4B
POLR1C
ZC3H15
SLC38A4-AS1
ENSG00000286797
ENSG00000254186
IQCH
BRCC3
TAF1B
PSAT1
PIH1D1
HSD11B1-AS1
TSEN2
WARS2-AS1
HDAC6
MFHAS1
THAP6
PCMTD1
PEX13
