KDELR2
MEMO1
AIG1
ZBTB1
TEX9
SRPK1
CAPZA1
SZRD1
ARL15
CYLD
SEH1L
NRF1
ATRN
EXD3
KLHL5
TAF12
ENSG00000237356
N4BP2
NRIP1
DNAJA1
ERGIC3
M6PR
ATXN7L3B
ATPSCKMT
APRG1
